EmployeeID,DepartmentID,RateChangeDate,Rate,PayFrequency,LoginID,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,ShiftID,StartDate,EndDate,ModifiedDate,DepartmentName,Sub-Department
40,7,00:00.0,25,2,adventure-works\jolynn0,3,Production Supervisor - WC60,1/13/1965,S,F,12/23/2016,0,82,61,1,3,12/23/2016,NULL,00:00.0,Production,Manufacturing
41,7,00:00.0,12.45,1,adventure-works\bryan0,4,Production Technician - WC60,8/25/1982,S,M,1/19/2018,0,35,37,1,3,1/19/2018,NULL,00:00.0,Production,Manufacturing
42,7,00:00.0,12.45,1,adventure-works\james0,4,Production Technician - WC60,7/23/1993,M,M,12/25/2017,0,39,39,1,3,12/25/2017,NULL,00:00.0,Production,Manufacturing
43,7,00:00.0,12.45,1,adventure-works\nancy0,4,Production Technician - WC60,11/17/1997,M,F,12/31/2017,0,34,37,1,3,12/31/2017,NULL,00:00.0,Production,Manufacturing
44,7,00:00.0,12.45,1,adventure-works\simon0,4,Production Technician - WC60,5/15/1999,S,M,12/6/2017,0,38,39,1,3,12/6/2017,NULL,00:00.0,Production,Manufacturing
45,7,00:00.0,12.45,1,adventure-works\thomas0,4,Production Technician - WC60,1/8/1995,M,M,2/24/2018,0,37,38,1,3,2/24/2018,NULL,00:00.0,Production,Manufacturing
46,7,00:00.0,12.45,1,adventure-works\eugene1,4,Production Technician - WC60,2/7/1985,S,M,2/6/2018,0,36,38,1,3,2/6/2018,NULL,00:00.0,Production,Manufacturing
55,7,00:00.0,25,2,adventure-works\taylor0,3,Production Supervisor - WC50,3/30/1965,M,M,2/5/2017,0,79,59,1,3,2/5/2017,NULL,00:00.0,Production,Manufacturing
56,7,00:00.0,11,1,adventure-works\denise0,4,Production Technician - WC50,7/4/1997,M,F,2/3/2018,0,9,24,1,3,2/3/2018,NULL,00:00.0,Production,Manufacturing
57,7,00:00.0,11,1,adventure-works\frank1,4,Production Technician - WC50,7/21/1980,S,M,2/21/2018,0,10,25,1,3,2/21/2018,NULL,00:00.0,Production,Manufacturing
58,7,00:00.0,11,1,adventure-works\kendall0,4,Production Technician - WC50,5/28/1995,M,M,12/3/2017,0,11,25,1,3,12/3/2017,NULL,00:00.0,Production,Manufacturing
59,7,00:00.0,11,1,adventure-works\bob0,4,Production Technician - WC50,8/13/1988,S,M,12/22/2017,0,12,26,1,3,12/22/2017,NULL,00:00.0,Production,Manufacturing
60,7,00:00.0,11,1,adventure-works\pete0,4,Production Technician - WC50,2/1/1986,S,M,1/9/2018,0,13,26,1,3,1/9/2018,NULL,00:00.0,Production,Manufacturing
61,7,00:00.0,11,1,adventure-works\diane2,4,Production Technician - WC50,8/7/1998,S,F,1/16/2018,0,8,24,1,3,1/16/2018,NULL,00:00.0,Production,Manufacturing
71,7,00:00.0,25,2,adventure-works\michael3,3,Production Supervisor - WC30,1/27/1998,S,M,2/13/2018,0,70,55,1,3,2/13/2018,NULL,00:00.0,Production,Manufacturing
72,7,00:00.0,9.5,1,adventure-works\steven0,4,Production Technician - WC30,5/12/1986,M,M,11/29/2017,0,41,40,1,3,11/29/2017,NULL,00:00.0,Production,Manufacturing
73,7,00:00.0,9.5,1,adventure-works\carole0,4,Production Technician - WC30,10/16/1992,M,F,12/17/2017,0,42,41,1,3,12/17/2017,NULL,00:00.0,Production,Manufacturing
74,7,00:00.0,9.5,1,adventure-works\bjorn0,4,Production Technician - WC30,11/4/1998,S,M,1/5/2018,0,43,41,1,3,1/5/2018,NULL,00:00.0,Production,Manufacturing
75,7,00:00.0,9.5,1,adventure-works\michiko0,4,Production Technician - WC30,6/25/1991,S,M,1/24/2018,0,44,42,1,3,1/24/2018,NULL,00:00.0,Production,Manufacturing
76,7,00:00.0,9.5,1,adventure-works\carol0,4,Production Technician - WC30,10/15/1997,M,F,2/10/2018,0,45,42,1,3,2/10/2018,NULL,00:00.0,Production,Manufacturing
77,7,00:00.0,9.5,1,adventure-works\merav0,4,Production Technician - WC30,5/10/1992,M,F,3/1/2018,0,46,43,1,3,3/1/2018,NULL,00:00.0,Production,Manufacturing
87,7,00:00.0,25,2,adventure-works\cristian0,3,Production Supervisor - WC10,4/9/1993,M,M,12/20/2017,0,67,53,1,3,12/20/2017,NULL,00:00.0,Production,Manufacturing
88,7,00:00.0,13.45,1,adventure-works\betsy0,4,Production Technician - WC10,12/15/1975,S,F,12/16/2018,0,99,69,1,3,12/16/2018,NULL,00:00.0,Production,Manufacturing
89,7,00:00.0,13.45,1,adventure-works\patrick0,4,Production Technician - WC10,9/8/1995,S,M,1/30/2019,0,96,68,1,3,1/30/2019,NULL,00:00.0,Production,Manufacturing
90,7,00:00.0,13.45,1,adventure-works\danielle0,4,Production Technician - WC10,9/5/1995,S,F,2/18/2019,0,97,68,1,3,2/18/2019,NULL,00:00.0,Production,Manufacturing
91,7,00:00.0,13.45,1,adventure-works\kimberly0,4,Production Technician - WC10,9/11/1995,S,F,1/10/2019,0,95,67,1,3,1/10/2019,NULL,00:00.0,Production,Manufacturing
92,7,00:00.0,13.45,1,adventure-works\tom0,4,Production Technician - WC10,9/29/1995,M,M,3/8/2019,0,98,69,1,3,3/8/2019,NULL,00:00.0,Production,Manufacturing
127,7,00:00.0,25,2,adventure-works\david4,3,Production Supervisor - WC40,6/29/1992,S,M,1/1/2018,0,73,56,1,3,1/1/2018,NULL,00:00.0,Production,Manufacturing
128,7,00:00.0,15,1,adventure-works\paul0,4,Production Technician - WC40,11/11/1989,S,M,12/2/2017,0,68,54,1,3,12/2/2017,NULL,00:00.0,Production,Manufacturing
129,7,00:00.0,15,1,adventure-works\gary0,4,Production Technician - WC40,5/14/1997,S,M,12/20/2017,0,69,54,1,3,12/20/2017,NULL,00:00.0,Production,Manufacturing
130,7,00:00.0,15,1,adventure-works\rob1,4,Production Technician - WC40,8/2/1982,S,M,2/11/2018,0,71,55,1,3,2/11/2018,NULL,00:00.0,Production,Manufacturing
131,7,00:00.0,15,1,adventure-works\baris0,4,Production Technician - WC40,10/5/1999,S,M,2/13/2018,0,72,56,1,3,2/13/2018,NULL,00:00.0,Production,Manufacturing
132,7,00:00.0,15,1,adventure-works\nicole0,4,Production Technician - WC40,4/7/1995,M,F,2/20/2018,0,67,53,1,3,2/20/2018,NULL,00:00.0,Production,Manufacturing
133,7,00:00.0,15,1,adventure-works\michael1,4,Production Technician - WC40,1/2/2000,S,M,1/8/2018,0,70,55,1,3,1/8/2018,NULL,00:00.0,Production,Manufacturing
180,7,00:00.0,25,2,adventure-works\katie0,3,Production Supervisor - WC20,11/16/1993,S,F,2/18/2018,0,42,41,1,3,2/18/2018,NULL,00:00.0,Production,Manufacturing
181,7,00:00.0,14,1,adventure-works\michael0,4,Production Technician - WC20,11/15/1993,S,M,12/7/2017,0,20,30,1,3,12/7/2017,NULL,00:00.0,Production,Manufacturing
182,7,00:00.0,14,1,adventure-works\nitin0,4,Production Technician - WC20,11/29/1995,S,M,12/26/2017,0,21,30,1,3,12/26/2017,NULL,00:00.0,Production,Manufacturing
183,7,00:00.0,14,1,adventure-works\barbara0,4,Production Technician - WC20,6/29/1988,M,F,1/20/2018,0,17,28,1,3,1/20/2018,NULL,00:00.0,Production,Manufacturing
184,7,00:00.0,14,1,adventure-works\john2,4,Production Technician - WC20,4/3/1995,M,M,2/7/2018,0,18,29,1,3,2/7/2018,NULL,00:00.0,Production,Manufacturing
185,7,00:00.0,14,1,adventure-works\stefen0,4,Production Technician - WC20,12/18/1984,S,M,2/26/2018,0,19,29,1,3,2/26/2018,NULL,00:00.0,Production,Manufacturing
205,7,00:00.0,25,2,adventure-works\lori0,3,Production Supervisor - WC45,7/16/1989,S,F,2/24/2018,0,76,58,1,3,2/24/2018,NULL,00:00.0,Production,Manufacturing
206,7,00:00.0,10,1,adventure-works\stuart0,4,Production Technician - WC45,9/11/1971,S,M,11/30/2017,0,84,62,1,3,11/30/2017,NULL,00:00.0,Production,Manufacturing
207,7,00:00.0,10,1,adventure-works\greg0,4,Production Technician - WC45,10/16/1979,S,M,11/30/2017,0,85,62,1,3,11/30/2017,NULL,00:00.0,Production,Manufacturing
208,7,00:00.0,10,1,adventure-works\scott0,4,Production Technician - WC45,2/8/1996,M,M,1/6/2018,0,86,63,1,3,1/6/2018,NULL,00:00.0,Production,Manufacturing
209,7,00:00.0,10,1,adventure-works\kathie0,4,Production Technician - WC45,10/30/1999,M,F,1/25/2018,0,87,63,1,3,1/25/2018,NULL,00:00.0,Production,Manufacturing
210,7,00:00.0,10,1,adventure-works\belinda0,4,Production Technician - WC45,9/15/1978,S,F,2/18/2018,0,83,61,1,3,2/18/2018,NULL,00:00.0,Production,Manufacturing
226,8,00:00.0,16,2,adventure-works\brian1,3,Scheduling Assistant,8/9/1993,M,M,3/1/2018,0,48,44,1,3,3/1/2018,NULL,00:00.0,Production Control,Manufacturing
218,12,00:00.0,16.8269,2,adventure-works\tengiz0,4,Control Specialist,4/26/1999,S,M,12/14/2017,0,76,58,1,3,12/14/2017,NULL,00:00.0,Document Control,Quality Assurance
213,13,00:00.0,10.5769,2,adventure-works\sootha0,4,Quality Assurance Technician,12/3/1975,M,M,2/21/2019,0,85,62,1,3,2/21/2019,NULL,00:00.0,Quality Assurance,Quality Assurance
229,14,00:00.0,9.25,1,adventure-works\lori1,4,Janitor,7/29/1979,M,F,2/14/2019,0,90,65,1,3,2/14/2019,NULL,00:00.0,Facilities and Maintenance,Executive General and Administration
231,14,00:00.0,9.25,1,adventure-works\jo1,4,Janitor,4/22/1963,M,F,3/5/2019,0,91,65,1,3,3/5/2019,NULL,00:00.0,Facilities and Maintenance,Executive General and Administration
124,15,00:00.0,9,1,adventure-works\kim0,4,Stocker,4/28/1993,S,F,12/24/2017,0,98,69,1,3,12/24/2017,NULL,00:00.0,Shipping and Receiving,Inventory Management
62,7,00:00.0,25,2,adventure-works\john0,3,Production Supervisor - WC60,8/5/1965,M,M,3/15/2017,0,81,60,1,2,3/15/2017,NULL,00:00.0,Production,Manufacturing
63,7,00:00.0,12.45,1,adventure-works\maciej0,4,Production Technician - WC60,1/28/1964,S,M,1/27/2019,0,30,35,1,2,1/27/2019,NULL,00:00.0,Production,Manufacturing
64,7,00:00.0,12.45,1,adventure-works\michael7,4,Production Technician - WC60,9/3/1982,S,M,2/21/2019,0,26,33,1,2,2/21/2019,NULL,00:00.0,Production,Manufacturing
65,7,00:00.0,12.45,1,adventure-works\randy0,4,Production Technician - WC60,4/26/1979,M,M,2/21/2019,0,29,34,1,2,2/21/2019,NULL,00:00.0,Production,Manufacturing
66,7,00:00.0,12.45,1,adventure-works\karan0,4,Production Technician - WC60,3/5/1979,S,M,12/20/2018,0,28,34,1,2,12/20/2018,NULL,00:00.0,Production,Manufacturing
67,7,00:00.0,12.45,1,adventure-works\jay0,4,Production Technician - WC60,2/8/1985,S,M,3/3/2018,0,32,36,1,2,3/3/2018,NULL,00:00.0,Production,Manufacturing
68,7,00:00.0,12.45,1,adventure-works\charles0,4,Production Technician - WC60,8/30/1980,S,M,12/1/2018,0,27,33,1,2,12/1/2018,NULL,00:00.0,Production,Manufacturing
69,7,00:00.0,12.45,1,adventure-works\steve0,4,Production Technician - WC60,4/3/2000,S,M,2/13/2018,0,31,35,1,2,2/13/2018,NULL,00:00.0,Production,Manufacturing
70,7,00:00.0,12.45,1,adventure-works\david2,4,Production Technician - WC60,12/27/1993,M,M,12/13/2017,0,33,36,1,2,12/13/2017,NULL,00:00.0,Production,Manufacturing
